gene	xstart	xend	ystart	yend
PRSS1	752065	752121	1.25	1.75
PRSS1	753152	754624	1.25	1.75
PRSS1	755028	755164	1.25	1.75
PRSS1	755465	755673	1.25	1.75
PRSS3P1	763010	763049	1.25	1.75
PRSS3P1	764070	764229	1.25	1.75
PRSS3P1	765289	765542	1.25	1.75
PRSS3P1	765950	766086	1.25	1.75
PRSS3P1	766388	766538	1.25	1.75
PRSS3P2	773586	773625	1.25	1.75
PRSS3P2	774655	774814	1.25	1.75
PRSS3P2	775873	776126	1.25	1.75
PRSS3P2	776522	776658	1.25	1.75
PRSS3P2	776958	777110	1.25	1.75
TRY7	783678	783717	1.25	1.75
TRY7	784783	784910	1.25	1.75
TRY7	785972	786225	1.25	1.75
TRY7	786626	786762	1.25	1.75
TRY7	787060	787211	1.25	1.75
PRSS2	793943	793995	1.25	1.75
PRSS2	795022	795525	1.25	1.75
PRSS2	796239	796492	1.25	1.75
PRSS2	796892	797028	1.25	1.75
PRSS2	797329	797532	1.25	1.75
